co2	temp	humidity
544	25.27	45.82
545	25.26	45.8
545	25.27	45.92
545	25.26	45.83
544	25.27	45.8
542	25.26	45.98
542	25.27	45.82
543	25.27	45.78
543	25.27	45.88
543	25.27	45.95
543	25.27	45.92
543	25.27	45.82
542	25.27	45.91
542	25.27	46.05
543	25.27	45.79
543	25.26	45.76
544	25.29	45.73
545	25.27	45.79
545	25.27	45.77
545	25.29	45.83
546	25.27	45.88
546	25.29	46.0
547	25.27	46.14
546	25.29	45.96
546	25.27	45.88
547	25.27	45.89
547	25.29	45.92
546	25.27	46.01
546	25.29	46.05
547	25.27	46.06
548	25.29	46.15
549	25.3	46.14
549	25.27	46.12
551	25.27	46.27
552	25.3	46.26
558	25.32	46.26
559	25.3	46.19
565	25.32	46.16
567	25.34	46.13
570	25.3	46.07
574	25.32	46.11
579	25.32	46.13
580	25.32	46.21
581	25.33	46.26
584	25.33	46.2
584	25.32	46.36
585	25.34	46.52
585	25.33	46.42
585	25.34	46.35
586	25.34	46.37
586	25.34	46.4
586	25.36	46.42
589	25.37	46.45
590	25.36	46.31
593	25.36	46.24
593	25.36	46.3
594	25.37	46.43
594	25.37	46.42
594	25.38	46.37
594	25.37	46.37
595	25.38	46.5
597	25.38	46.71
597	25.4	46.58
598	25.38	46.65
598	25.37	46.6
598	25.4	46.64
599	25.4	46.56
600	25.41	46.52
598	25.41	46.54
598	25.4	46.59
598	25.43	46.53
600	25.41	46.34
599	25.41	46.56
600	25.43	46.49
599	25.41	46.47
599	25.4	46.44
598	25.41	46.63
597	25.38	46.5
598	25.4	46.54
598	25.38	46.58
599	25.38	46.7
600	25.38	47.08
600	25.38	47.1
601	25.41	47.17
603	25.38	47.21
604	25.41	47.37
604	25.41	47.26
606	25.43	47.16
606	25.41	47.02
606	25.41	47.1
606	25.43	47.19
605	25.44	47.08
605	25.43	47.06
607	25.41	47.02
607	25.44	47.13
607	25.44	47.06
607	25.43	47.08
606	25.43	47.23
605	25.43	47.31
605	25.46	47.36
606	25.44	47.3
607	25.44	47.26
610	25.46	47.19
611	25.46	47.11
611	25.46	47.08
611	25.47	47.04
610	25.46	47.08
611	25.47	47.16
611	25.48	47.3
611	25.5	47.4
613	25.48	47.21
613	25.47	47.23
